Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2005,0 - 4,Kvinne,Vest-Agder,0,0,0,0,0
ADHD-midler,2005,0 - 4,Kvinne,Vestfold,0,0,0,0,0
ADHD-midler,2005,0 - 4,Kvinne,Østfold,0,0,0,0,0
ADHD-midler,2005,0 - 4,Mann,Akershus,,,15246,,
ADHD-midler,2005,0 - 4,Mann,Aust-Agder,,,2690,,
ADHD-midler,2005,0 - 4,Mann,Buskerud,,,6632,,
ADHD-midler,2005,0 - 4,Mann,Finnmark,0,0,0,0,0
ADHD-midler,2005,0 - 4,Mann,Hedmark,,,4468,,
ADHD-midler,2005,0 - 4,Mann,Hordaland,0,0,0,0,0
ADHD-midler,2005,0 - 4,Mann,Møre og Romsdal,,,6825,,
ADHD-midler,2005,0 - 4,Mann,Nordland,0,0,0,0,0
ADHD-midler,2005,0 - 4,Mann,Nord-Trøndelag,,,3517,,
ADHD-midler,2005,0 - 4,Mann,Oppland,0,0,0,0,0
ADHD-midler,2005,0 - 4,Mann,Oslo,,,16947,,
ADHD-midler,2005,0 - 4,Mann,Rogaland,,,12538,,
ADHD-midler,2005,0 - 4,Mann,Sogn og Fjordane,,,3043,,
ADHD-midler,2005,0 - 4,Mann,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2005,0 - 4,Mann,Telemark,,,4112,,
ADHD-midler,2005,0 - 4,Mann,Troms,0,0,0,0,0
ADHD-midler,2005,0 - 4,Mann,Vest-Agder,,,4629,,
ADHD-midler,2005,0 - 4,Mann,Vestfold,,,5830,,
ADHD-midler,2005,0 - 4,Mann,Østfold,,,6930,,
ADHD-midler,2005,5 - 9,Kvinne,Akershus,44,2.505124117513095,17564,256599.78125,13152.8203125
ADHD-midler,2005,5 - 9,Kvinne,Aust-Agder,23,6.841165972635336,3362,103001.3984375,6336.66650390625
ADHD-midler,2005,5 - 9,Kvinne,Buskerud,23,3.025519600105235,7602,148899.296875,6897.2333984375
ADHD-midler,2005,5 - 9,Kvinne,Finnmark,6,2.397123451857771,2503,22225.349609375,924.033325195313
ADHD-midler,2005,5 - 9,Kvinne,Hedmark,17,3.133063029856248,5426,104410.2109375,5740.2998046875
ADHD-midler,2005,5 - 9,Kvinne,Hordaland,27,1.763783642539848,15308,144357.40625,8518.7919921875
ADHD-midler,2005,5 - 9,Kvinne,Møre og Romsdal,33,4.121393780442113,8007,132587.84375,6115.783203125
ADHD-midler,2005,5 - 9,Kvinne,Nordland,33,4.358161648177496,7572,200852.03125,9138.3623046875
ADHD-midler,2005,5 - 9,Kvinne,Nord-Trøndelag,15,3.486750348675035,4302,133686.796875,5022.2001953125
ADHD-midler,2005,5 - 9,Kvinne,Oppland,15,2.750275027502750,5454,67949.9765625,4192.994140625
ADHD-midler,2005,5 - 9,Kvinne,Oslo,28,1.987930422435215,14085,184413.5,7245.2333984375
ADHD-midler,2005,5 - 9,Kvinne,Rogaland,41,2.839728494251281,14438,205410.59375,9857.2412109375
ADHD-midler,2005,5 - 9,Kvinne,Sogn og Fjordane,9,2.529510961214165,3558,65177.80078125,2440.625
ADHD-midler,2005,5 - 9,Kvinne,Sør-Trøndelag,19,2.157619804678628,8806,93480.46875,4342.41650390625
ADHD-midler,2005,5 - 9,Kvinne,Telemark,18,3.543307086614173,5080,84621.1015625,4646.72900390625
ADHD-midler,2005,5 - 9,Kvinne,Troms,13,2.608346709470305,4984,93879.03125,3710.615234375
ADHD-midler,2005,5 - 9,Kvinne,Vest-Agder,9,1.598295151838039,5631,47228.8984375,2896.625
ADHD-midler,2005,5 - 9,Kvinne,Vestfold,32,4.567513559805881,7006,172984.25,8539.58203125
ADHD-midler,2005,5 - 9,Kvinne,Østfold,26,3.200000000000000,8125,174097.21875,12456.49609375
ADHD-midler,2005,5 - 9,Mann,Akershus,160,8.643976229065370,18510,968209.9375,46634.0546875
ADHD-midler,2005,5 - 9,Mann,Aust-Agder,61,16.558089033659066,3684,279322.65625,13391.05859375
ADHD-midler,2005,5 - 9,Mann,Buskerud,127,15.745102901066204,8066,907194.25,38779.8046875
ADHD-midler,2005,5 - 9,Mann,Finnmark,26,9.789156626506024,2656,222166,8064.02099609375
ADHD-midler,2005,5 - 9,Mann,Hedmark,93,15.720081135902637,5916,617419.0625,35639.30859375
ADHD-midler,2005,5 - 9,Mann,Hordaland,101,6.394428616650839,15795,744845.8125,32191.9375
ADHD-midler,2005,5 - 9,Mann,Møre og Romsdal,113,13.379114373668009,8446,729107.3125,29497.765625
ADHD-midler,2005,5 - 9,Mann,Nordland,136,17.128463476070529,7940,833060.6875,39973.94140625
ADHD-midler,2005,5 - 9,Mann,Nord-Trøndelag,61,13.197749891821722,4622,421439.96875,20199.708984375
ADHD-midler,2005,5 - 9,Mann,Oppland,58,9.967348341639457,5819,352123.34375,22833.78515625
ADHD-midler,2005,5 - 9,Mann,Oslo,135,9.095809190136100,14842,998962.875,42148.84375
ADHD-midler,2005,5 - 9,Mann,Rogaland,192,12.734628904954567,15077,1207326.875,56520.30859375
ADHD-midler,2005,5 - 9,Mann,Sogn og Fjordane,57,14.732489015249418,3869,413765.8125,18241.279296875
ADHD-midler,2005,5 - 9,Mann,Sør-Trøndelag,56,6.029285099052541,9288,374666.6875,14196.1201171875
ADHD-midler,2005,5 - 9,Mann,Telemark,79,15.324927255092144,5155,467981.25,24494.828125
ADHD-midler,2005,5 - 9,Mann,Troms,46,8.685800604229607,5296,257409.796875,11478.7333984375
ADHD-midler,2005,5 - 9,Mann,Vest-Agder,58,9.924709103353867,5844,254697.3125,18132.7421875
ADHD-midler,2005,5 - 9,Mann,Vestfold,92,12.479652740097667,7372,748075.625,29990.908203125
ADHD-midler,2005,5 - 9,Mann,Østfold,83,9.765854806447817,8499,549673.6875,36897.5625
ADHD-midler,2005,10 - 14,Kvinne,Akershus,114,6.419280364885410,17759,850325.6875,41664.05859375
ADHD-midler,2005,10 - 14,Kvinne,Aust-Agder,40,11.058888581697539,3617,239951.90625,11655.8583984375
ADHD-midler,2005,10 - 14,Kvinne,Buskerud,92,11.563599798893917,7956,807349.9375,34573.3359375
ADHD-midler,2005,10 - 14,Kvinne,Finnmark,23,8.977361436377830,2562,147830.09375,7601.60400390625
