year,age,gender,geography,befolkning
2004,10,F,Buskerud,7952
2004,10,F,Finnmark,2582
2004,10,F,Hedmark,6000
2004,10,F,Hordaland,15414
2004,10,F,Møre og Romsdal,8370
2004,10,F,Nordland,8040
2004,10,F,Nord-Trøndelag,4561
2004,10,F,Oppland,5855
2004,10,F,Oslo,12847
2004,10,F,Rogaland,14328
2004,10,F,Sogn og Fjordane,3804
2004,10,F,Sør-Trøndelag,9128
2004,10,F,Telemark,5396
2004,10,F,Troms,5156
2004,10,F,Vest-Agder,5785
2004,10,F,Vestfold,7360
2004,10,F,Østfold,8222
2004,10,M,Hele landet,160682
2004,10,M,Helseregion Midt-Norge,23026
2004,10,M,Helseregion Nord-Norge,17084
2004,10,M,Helseregion Sør-Øst,84851
2004,10,M,Helseregion Vest,35720
2004,10,M,Akershus,18730
2004,10,M,Aust-Agder,3745
2004,10,M,Buskerud,8084
2004,10,M,Finnmark,2720
2004,10,M,Hedmark,6262
2004,10,M,Hordaland,16287
2004,10,M,Møre og Romsdal,8806
2004,10,M,Nordland,8740
2004,10,M,Nord-Trøndelag,4768
2004,10,M,Oppland,6164
2004,10,M,Oslo,13500
2004,10,M,Rogaland,15364
2004,10,M,Sogn og Fjordane,4068
2004,10,M,Sør-Trøndelag,9452
2004,10,M,Telemark,5703
2004,10,M,Troms,5624
2004,10,M,Vest-Agder,6100
2004,10,M,Vestfold,7750
2004,10,M,Østfold,8814
2004,15,F,Hele landet,140318
2004,15,F,Helseregion Midt-Norge,20588
2004,15,F,Helseregion Nord-Norge,14599
2004,15,F,Helseregion Sør-Øst,74131
2004,15,F,Helseregion Vest,31000
2004,15,F,Akershus,15232
2004,15,F,Aust-Agder,3430
2004,15,F,Buskerud,7308
2004,15,F,Finnmark,2308
2004,15,F,Hedmark,5544
2004,15,F,Hordaland,14129
2004,15,F,Møre og Romsdal,7954
2004,15,F,Nordland,7586
2004,15,F,Nord-Trøndelag,4282
2004,15,F,Oppland,5300
2004,15,F,Oslo,12136
