drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2006,Alle,F,Akershus,579,2.268,255319,3403016.750,217097.281
ADHD-midler,2006,Alle,F,Aust-Agder,234,4.460,52464,1390207.875,84073.914
ADHD-midler,2006,Alle,F,Buskerud,359,2.878,124748,2811751,135533.891
ADHD-midler,2006,Alle,F,Finnmark,87,2.431,35782,559710.500,30336.852
ADHD-midler,2006,Alle,F,Hedmark,231,2.420,95441,1519548.500,96723.266
ADHD-midler,2006,Alle,F,Hordaland,306,1.341,228158,1801777.250,111287.875
ADHD-midler,2006,Alle,F,Møre og Romsdal,302,2.470,122268,1552399.250,90519.109
ADHD-midler,2006,Alle,F,Nordland,361,3.062,117892,2178426,114381.867
ADHD-midler,2006,Alle,F,Nord-Trøndelag,159,2.465,64509,1005976.125,69874.258
ADHD-midler,2006,Alle,F,Oppland,158,1.711,92326,865080.562,60573.277
ADHD-midler,2006,Alle,F,Oslo,500,1.801,277650,2714967,188041.125
ADHD-midler,2006,Alle,F,Rogaland,442,2.209,200106,2903707,168558.547
ADHD-midler,2006,Alle,F,Sogn og Fjordane,117,2.220,52714,729463.312,40240.047
ADHD-midler,2006,Alle,F,Sør-Trøndelag,249,1.790,139082,1235924.125,84300.391
ADHD-midler,2006,Alle,F,Telemark,246,2.920,84240,1536209.625,90628.086
ADHD-midler,2006,Alle,F,Troms,128,1.676,76390,604656.188,41919.672
ADHD-midler,2006,Alle,F,Vest-Agder,218,2.656,82072,1289928.125,87652.984
ADHD-midler,2006,Alle,F,Vestfold,354,3.124,113313,2574797.500,155295.984
ADHD-midler,2006,Alle,F,Østfold,378,2.851,132562,2148862.750,160994.516
ADHD-midler,2006,Alle,M,Akershus,1343,5.375,249870,9609950,539420.375
ADHD-midler,2006,Alle,M,Aust-Agder,524,10.086,51952,3104737.500,172300.609
ADHD-midler,2006,Alle,M,Buskerud,979,8.044,121708,8051564,420205.469
ADHD-midler,2006,Alle,M,Finnmark,259,6.996,37019,1760985.375,97659.172
ADHD-midler,2006,Alle,M,Hedmark,628,6.740,93170,4581916.500,289036.719
ADHD-midler,2006,Alle,M,Hordaland,830,3.663,226566,5827245,305163.875
ADHD-midler,2006,Alle,M,Møre og Romsdal,814,6.620,122954,5557308.500,274034.250
ADHD-midler,2006,Alle,M,Nordland,877,7.433,117990,5770544.500,329232.500
ADHD-midler,2006,Alle,M,Nord-Trøndelag,385,5.978,64399,2534591.250,161308.453
ADHD-midler,2006,Alle,M,Oppland,453,4.989,90808,2888717,204060.656
ADHD-midler,2006,Alle,M,Oslo,1025,3.855,265888,6172961.500,365856.688
ADHD-midler,2006,Alle,M,Rogaland,1221,6.074,201008,8916767,485754.031
ADHD-midler,2006,Alle,M,Sogn og Fjordane,331,6.161,53722,2494108,125765.719
ADHD-midler,2006,Alle,M,Sør-Trøndelag,684,4.955,138047,4581203,268477.938
