drug,,,,ADHD-midler,ADHD-midler,Antibiotika,Antibiotika,Antidepressiva,Antidepressiva,Astma- og KOLS-midler,Astma- og KOLS-midler,Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Demensmidler,Demensmidler,Hormontilskudd ved overgangsalder,Hormontilskudd ved overgangsalder,Kolesterolsenkende midler,Kolesterolsenkende midler,Potensmidler,Potensmidler,Prevensjonsmidler unntatt spiraler og vaginalringer,Prevensjonsmidler unntatt spiraler og vaginalringer,Smertestillende midler,Smertestillende midler,Sovemidler og beroligende midler,Sovemidler og beroligende midler
,,,,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000
geography,year,age,gender,,,,,,,,,,,,,,,,,,,,,,,,
Hele landet,2004,50.000,F,24156.500,0.312,831123.000,268.909,5679020.500,123.056,4296173.500,89.055,11065020.000,162.769,8355.681,0.190,8199473.500,220.314,2978947.000,62.645,496.000,0.190,316852.000,7.606,6404067.000,380.835,5321947.000,198.203
Hele landet,2004,50.000,M,24875.666,0.368,540713.125,176.058,3113425.250,65.159,2820949.250,55.745,15461144.000,175.356,5864.667,0.144,5088.816,0.138,6183623.000,108.845,278806.312,44.724,,,4236528.500,289.675,3467405.500,106.626
Hele landet,2004,55.000,F,10880.333,0.182,952674.812,290.238,6055035.500,131.034,5845096.500,106.595,18874510.000,244.605,19141.516,0.418,9926649.000,278.572,5460579.500,114.503,288.000,0.216,15510.988,0.398,7683371.000,397.872,6430705.500,233.992
Hele landet,2004,55.000,M,16994.332,0.229,624392.438,196.214,3220798.250,67.566,4308300.500,69.348,25912592.000,270.812,17618.402,0.398,3481.198,0.196,9409003.000,166.493,349739.906,60.371,,,4849094.500,305.274,3674027.000,122.674
Hele landet,2004,60.000,F,9742.250,0.178,808888.438,294.835,4309475.500,126.220,5519673.000,119.628,20355626.000,324.473,36166.426,1.051,5877822.500,238.954,6334368.000,173.701,784.000,0.080,3059.146,0.116,6524049.500,398.723,5348764.000,260.440
Hele landet,2004,60.000,M,6814.667,0.169,542932.500,211.506,2190597.250,63.256,4205229.000,85.235,26602724.000,361.172,38785.512,1.095,1491.000,0.169,9033033.000,221.177,293624.250,77.852,,,3930720.250,305.263,2970795.250,133.057
Hele landet,2004,65.000,F,15406.000,0.347,747597.125,306.915,3364212.500,131.514,4996518.500,128.664,20807522.000,401.630,96966.867,3.611,3115410.250,180.643,6600558.000,236.446,866.000,0.089,,,5398122.500,398.500,5041692.000,311.353
Hele landet,2004,65.000,M,5259.625,0.169,463418.000,230.504,1465273.125,61.364,4239188.000,105.432,24154148.000,440.655,87496.977,3.408,1005.909,0.133,7706705.500,270.632,217076.438,88.377,0.000,0.000,3028689.750,306.868,2581745.500,161.260
Hele landet,2004,70.000,F,6869.333,0.180,796723.312,322.019,3102645.750,135.060,5305137.500,136.046,25332944.000,496.049,249452.688,10.464,1919045.375,131.319,7151962.500,281.065,584.000,0.084,,,5394318.500,413.093,5537030.000,360.580
Hele landet,2004,70.000,M,3540.000,0.140,492833.000,253.438,1378579.250,69.409,4933388.000,130.747,26029112.000,534.460,203907.266,9.134,657.000,0.168,7287993.000,312.524,163873.859,80.586,,,2707584.500,312.566,2725488.250,200.618
