drug,,,,ADHD-midler,ADHD-midler,Antibiotika,Antibiotika,Antidepressiva,Antidepressiva,Astma- og KOLS-midler,Astma- og KOLS-midler,Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Demensmidler,Demensmidler,Hormontilskudd ved overgangsalder,Hormontilskudd ved overgangsalder,Kolesterolsenkende midler,Kolesterolsenkende midler,Potensmidler,Potensmidler,Prevensjonsmidler unntatt spiraler og vaginalringer,Prevensjonsmidler unntatt spiraler og vaginalringer,Smertestillende midler,Smertestillende midler,Sovemidler og beroligende midler,Sovemidler og beroligende midler
,,,,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000
geography,year,age,gender,,,,,,,,,,,,,,,,,,,,,,,,
Hele landet,2011,0.000,M,1817.000,0.056,340891.938,285.518,,,1945073.625,192.401,14600.833,0.949,0.000,0.000,0.000,0.000,,,0.000,0.000,,,7493.696,15.044,31542.994,6.514
Hele landet,2011,5.000,F,138295.516,3.527,277055.406,192.522,2975.000,0.143,999003.688,71.536,18851.041,0.763,0.000,0.000,750.000,0.068,,,0.000,0.000,0.000,0.000,17127.402,12.398,198106.391,5.951
Hele landet,2011,5.000,M,501495.125,11.106,247252.078,166.497,5566.980,0.235,1702079.500,102.563,26331.584,0.940,0.000,0.000,0.000,0.000,1672.667,0.052,,,,,16117.189,12.985,462234.781,9.533
Hele landet,2011,10.000,F,717198.250,13.555,300187.125,138.072,51410.016,1.484,1164463.750,59.634,41977.250,1.570,,,57823.992,0.501,6048.905,0.185,,,217623.328,7.730,111284.914,33.929,450231.625,10.626
Hele landet,2011,10.000,M,2313976.000,38.509,262735.281,120.720,100733.875,2.110,1839276.000,81.678,35158.875,1.193,0.000,0.000,,,11940.881,0.314,,,,,77612.438,25.968,1117266.250,17.741
Hele landet,2011,15.000,F,825295.125,14.891,948568.438,284.431,816663.938,21.775,1379214.750,63.702,124216.352,4.802,0.000,0.038,57303.316,1.271,42893.879,1.073,,,20654938.000,436.464,561724.812,130.725,591919.562,27.100
Hele landet,2011,15.000,M,1970071.125,29.016,828926.875,186.415,460797.875,9.816,1538521.875,56.801,105485.039,2.757,,,1268.992,0.042,40565.453,0.909,2738.032,0.431,1176.000,0.042,309629.312,80.541,703167.312,19.829
Hele landet,2011,20.000,F,578657.500,9.388,1074828.625,343.083,2029596.875,47.970,1220872.500,53.693,215892.953,8.933,0.000,0.094,65640.391,2.244,96633.570,2.032,,,29007898.000,569.954,957974.688,193.924,541276.312,47.795
Hele landet,2011,20.000,M,750004.438,10.388,639459.250,192.187,1123716.375,26.167,1017013.250,39.256,236526.500,5.344,,,8070.636,0.102,112477.625,1.879,10039.333,2.894,2437.000,0.102,637491.500,136.707,546451.188,31.097
Hele landet,2011,25.000,F,454255.344,6.362,985181.812,318.722,2591170.750,57.042,1210842.125,51.278,431752.125,13.966,0.000,0.084,120933.703,4.921,136783.594,2.599,3094.000,0.084,17230342.000,389.988,1335138.625,212.723,835998.125,60.104
Hele landet,2011,25.000,M,544769.750,6.885,527894.375,181.019,1650170.500,35.428,1038477.875,38.266,533566.750,9.500,,,6487.000,0.068,230986.000,4.078,29455.000,6.017,3362.112,0.136,976562.750,166.803,897816.000,45.399
Hele landet,2011,30.000,F,410281.906,4.963,998285.000,318.551,3093514.500,65.177,1457688.500,55.859,806849.125,22.041,130.667,0.063,247107.703,8.520,227615.969,4.260,1601.988,0.114,11038426.000,259.491,2074736.250,237.013,1255812.000,71.300
Hele landet,2011,30.000,M,553743.125,5.886,565583.562,189.671,2219006.500,42.293,1249935.500,42.663,1183234.375,17.493,200.000,0.030,9881.477,0.121,573281.625,9.099,65316.000,9.815,2959.461,0.152,1533468.875,190.898,1458808.875,56.779
Hele landet,2011,35.000,F,497809.594,5.115,1088767.500,309.360,4223485.500,79.427,2209946.250,67.368,2048353.750,39.229,85.579,0.135,409842.281,10.854,534292.312,8.837,3812.764,0.106,8261166.500,168.903,3545565.000,277.558,2160411.500,91.281
Hele landet,2011,35.000,M,593430.375,5.225,651209.750,195.570,2780977.250,47.512,1756669.625,49.082,3006882.750,35.951,,,5639.077,0.084,1511385.250,21.032,125716.992,15.009,2119.461,0.106,2461845.500,220.715,2006286.875,64.069
Hele landet,2011,40.000,F,483729.969,4.583,1113169.625,286.333,5751229.500,97.227,3238132.000,78.042,4505084.000,67.167,361.333,0.121,680656.625,16.279,1365598.250,20.227,1500.000,0.094,5756940.000,103.155,5524116.000,322.216,3572634.750,119.434
Hele landet,2011,40.000,M,567202.438,4.421,711555.000,192.174,3426818.250,52.522,2294541.750,52.575,6446587.000,65.834,160.667,0.058,7053.711,0.073,3588547.000,44.685,205900.000,22.945,1271.641,0.052,3690216.500,250.055,2749076.500,74.472
Hele landet,2011,45.000,F,326070.531,3.156,1066453.875,277.441,6151696.000,108.547,3853508.000,85.834,7850977.500,109.524,1186.598,0.212,1876851.375,51.138,2759471.000,43.688,2098.000,0.141,2901252.250,54.265,6494882.500,351.840,4562963.000,150.899
Hele landet,2011,45.000,M,398214.969,3.069,679921.875,187.716,3582386.750,57.553,2697652.500,57.414,11559700.000,116.963,1749.037,0.055,6793.741,0.083,6883241.500,83.500,305248.469,33.187,756.000,0.039,4361041.500,270.254,3216957.000,87.482
Hele landet,2011,50.000,F,186405.969,1.968,1115480.125,292.637,6292347.000,116.878,4488920.500,94.767,12774482.000,172.673,7056.933,0.267,4367126.000,141.497,5354176.500,88.673,3054.000,0.159,691320.875,14.639,6883467.500,375.310,5763067.500,188.252
Hele landet,2011,50.000,M,226856.969,2.040,679573.875,192.664,3552565.000,61.865,3121790.000,63.160,18743836.000,193.215,5284.168,0.163,2424.199,0.103,10901137.000,137.590,427405.000,48.573,3512.000,0.079,4786208.000,289.532,3651481.500,104.179
Hele landet,2011,55.000,F,74349.633,0.874,1229485.750,318.207,6608522.000,127.708,5594776.000,108.819,18871692.000,249.179,29738.842,0.708,5240960.000,208.534,9250647.000,155.277,5174.000,0.192,51543.156,1.218,7490771.500,388.493,7024641.000,231.131
Hele landet,2011,55.000,M,134347.047,1.228,740069.688,215.200,3695647.500,66.875,3984704.000,74.983,28533322.000,294.108,19317.639,0.466,4135.143,0.123,15629741.000,204.221,507847.031,64.897,756.000,0.032,5038246.500,308.869,4054831.500,124.576
Hele landet,2011,60.000,F,30024.490,0.437,1340981.000,333.399,6428395.000,131.793,7200367.500,129.036,26561036.000,343.368,62305.266,1.396,4193536.250,210.673,13402801.000,234.778,8086.680,0.183,1642.563,0.042,7689461.500,398.954,7649388.500,267.654
Hele landet,2011,60.000,M,43238.332,0.509,867298.875,241.507,3499849.500,69.031,5398348.500,92.776,38980432.000,406.584,48261.977,1.094,2972.832,0.117,20574072.000,287.578,555372.500,82.356,1504.000,0.034,5307703.000,323.416,4333837.000,144.312
Hele landet,2011,65.000,F,12454.333,0.222,1399267.250,338.851,5297446.000,126.773,7865005.500,145.793,34112920.000,452.917,114954.484,3.244,3245073.250,198.238,16127298.000,313.509,3993.864,0.159,4174.994,0.079,7269261.000,394.587,7485595.000,297.717
Hele landet,2011,65.000,M,25765.332,0.337,863229.500,258.141,2664442.500,63.099,6387359.500,112.093,45170844.000,514.845,105909.234,2.587,1610.400,0.225,21959676.000,364.603,514311.312,94.782,,,4652696.000,318.076,3906620.000,157.054
Hele landet,2011,70.000,F,8095.066,0.305,1152778.250,358.412,3826983.250,139.185,5910274.500,150.627,29731632.000,542.317,244572.641,9.637,1668395.375,162.251,13364076.000,378.938,4847.804,0.203,,,5472041.500,424.585,6280147.000,357.949
Hele landet,2011,70.000,M,7039.333,0.200,631243.188,274.041,1707313.250,68.854,4796332.000,126.176,33546830.000,589.263,212787.000,8.721,1010.100,0.212,15345367.000,418.121,288389.781,89.869,,,3181295.000,330.426,2892079.750,188.933
Hele landet,2011,75.000,F,12194.000,0.287,1128422.750,377.179,3270415.500,151.367,4924809.000,148.822,29691212.000,627.419,481471.625,23.729,992169.750,123.491,11454226.000,412.390,3092.952,0.164,,,4817644.500,447.697,5992888.500,407.710
Hele landet,2011,75.000,M,3844.000,0.186,574924.250,302.488,1393146.750,80.284,4283479.500,148.569,27924428.000,660.720,333013.500,19.662,1081.589,0.169,11382047.000,456.153,151221.000,67.795,,,2404206.500,342.199,2686882.750,232.667
Hele landet,2011,80.000,F,3345.333,0.122,1213386.375,380.071,3075625.250,163.669,3870063.750,132.716,29148592.000,679.687,658747.625,38.330,715992.812,99.598,8988917.000,380.391,1308.000,0.091,,,4556820.000,460.222,6251496.000,450.255
Hele landet,2011,80.000,M,3448.000,0.154,522034.875,323.196,1163466.625,91.693,3343292.250,149.838,22353948.000,699.140,412488.719,32.451,,,7821408.000,441.307,57209.293,34.294,,,1936108.375,349.965,2550044.500,279.621
Hele landet,2011,85.000,F,,,968387.500,370.545,2171368.500,160.568,2099141.250,100.024,22195252.000,679.180,566968.812,43.475,493422.312,81.392,4642654.000,278.215,,,0.000,0.000,3543753.750,453.934,5135112.000,455.121
Hele landet,2011,85.000,M,,,380308.781,340.897,665266.438,100.219,1696061.500,129.843,12578467.000,699.088,295744.125,41.335,172.572,0.219,3377534.000,354.469,15157.667,15.505,,,1145893.875,348.413,1752878.375,314.484
Hele landet,2011,90.000,F,0.000,0.000,607634.938,332.629,1065944.125,130.886,782707.438,61.899,11915878.000,600.887,272624.500,33.483,271980.250,60.421,1190883.250,124.461,,,,,2037112.125,403.065,2951704.000,401.798
Hele landet,2011,90.000,M,0.000,0.000,183756.375,340.214,234374.047,90.299,456628.500,89.195,4352851.500,635.916,88668.391,31.515,0.000,0.000,702214.062,191.216,927.684,3.398,,,488855.406,340.979,810863.938,326.877
Hele landet,2012,,F,5020611.500,4.798,18986194.000,295.927,63172768.000,81.213,60295680.000,90.423,230412048.000,166.145,2581985.000,3.886,21627228.000,64.427,89295864.000,93.379,62522.484,0.116,98531024.000,130.636,73720256.000,267.208,67193664.000,145.214
Hele landet,2012,,M,8755318.000,8.065,11200453.000,206.705,34226468.000,42.410,50181572.000,77.284,257583760.000,159.831,1571509.750,2.304,55617.938,0.082,123789088.000,107.434,3450915.000,29.470,25320.844,0.056,44986208.000,200.817,38478592.000,80.333
Hele landet,2012,0.000,F,,,282391.719,267.804,,,1149278.000,136.890,11276.333,0.878,0.000,0.000,7950.000,0.702,,,0.000,0.000,,,6921.620,12.229,33443.434,6.195
Hele landet,2012,0.000,M,930.333,0.048,331248.031,283.393,,,1790490.875,174.466,14938.667,0.934,0.000,0.000,,,,,,,,,8756.040,16.485,36371.484,7.329
Hele landet,2012,5.000,F,132055.719,3.534,244808.531,177.445,3072.947,0.094,955433.438,66.095,25282.871,0.860,0.000,0.000,825.000,0.074,1150.095,0.047,,,,,17773.678,12.006,193292.453,5.892
Hele landet,2012,5.000,M,510561.969,11.390,211366.844,150.608,3922.667,0.173,1578049.000,93.708,26914.918,0.892,0.000,0.000,0.000,0.000,2208.571,0.071,1500.000,0.039,,,18747.525,13.419,425693.125,9.830
Hele landet,2012,10.000,F,727436.375,14.206,269006.750,124.081,62335.371,1.757,1124547.625,58.487,46059.625,1.670,,,31611.451,0.439,10279.143,0.393,,,208965.516,7.306,121235.977,35.691,444996.875,11.198
Hele landet,2012,10.000,M,2242773.750,38.692,220969.641,105.355,118786.531,2.328,1782395.125,78.968,43455.793,1.386,0.000,0.000,,,9788.286,0.363,0.000,0.000,,,75188.938,25.108,1041320.312,17.973
Hele landet,2012,15.000,F,823609.500,15.174,1003958.062,277.425,945265.688,24.325,1368153.625,62.419,119754.016,4.944,15.000,0.057,61412.148,1.220,43700.809,1.112,,,20450538.000,425.533,614567.938,130.157,637328.062,28.213
Hele landet,2012,15.000,M,1882722.875,29.072,845624.312,179.772,485473.281,10.726,1463024.250,56.614,95617.875,2.791,,,2811.600,0.048,42849.117,0.974,2472.352,0.496,1344.000,0.066,326361.219,80.504,706571.188,20.963
Hele landet,2012,20.000,F,609879.188,10.214,1130867.500,336.463,2191026.750,49.921,1198234.750,52.742,236315.672,9.408,0.000,0.067,62102.715,2.125,108170.930,2.027,1448.000,0.031,30344236.000,573.108,1039316.875,194.685,555860.750,46.960
Hele landet,2012,20.000,M,769118.188,11.086,671902.562,186.494,1203370.375,27.037,1030586.500,39.397,242837.766,5.645,0.000,0.029,8578.314,0.122,116835.555,1.839,12776.000,3.300,3441.820,0.140,687769.875,136.413,551287.062,31.396
Hele landet,2012,25.000,F,508877.781,7.001,1017961.188,315.580,2748828.750,60.042,1200536.750,50.665,429028.406,14.590,0.000,0.038,124683.500,4.651,127232.906,2.375,3827.333,0.125,18079238.000,392.056,1455730.125,211.731,815721.625,59.279
Hele landet,2012,25.000,M,570738.250,7.437,530311.812,175.066,1681751.750,35.329,1018212.875,36.926,540319.250,9.691,,,5363.088,0.072,242278.156,4.026,32278.334,6.171,3282.820,0.139,1056668.125,166.363,868046.875,44.140
Hele landet,2012,30.000,F,447536.000,5.863,1042465.812,316.366,3177873.250,66.516,1414657.500,55.657,827909.812,22.771,0.000,0.037,234584.875,7.847,228642.562,4.233,3230.000,0.093,11262532.000,257.498,2184240.500,234.219,1289546.500,71.815
Hele landet,2012,30.000,M,591185.688,6.339,590949.375,186.294,2229503.750,42.574,1223269.500,41.692,1215902.375,17.432,,,8356.973,0.106,578159.562,8.928,65072.023,9.887,2520.000,0.124,1622159.250,190.055,1401670.000,55.475
Hele landet,2012,35.000,F,528323.875,5.822,1068852.250,306.125,4049095.750,79.935,2044774.625,65.940,1952857.500,38.724,15.000,0.090,393220.188,10.751,475328.906,8.119,6043.368,0.162,8174582.500,169.957,3568956.750,276.401,2026743.875,89.439
Hele landet,2012,35.000,M,598825.375,5.699,642264.250,195.022,2722246.000,47.766,1632625.000,48.610,2912318.250,36.106,,,7479.000,0.096,1393302.750,19.942,120825.992,15.365,2123.842,0.085,2422393.000,216.234,1869321.500,63.482
Hele landet,2012,40.000,F,515380.062,4.998,1133102.500,284.323,5688449.500,97.146,3108315.500,77.845,4407674.000,66.864,606.667,0.104,681554.000,16.214,1298439.625,19.548,1312.000,0.088,6003120.500,106.228,5685663.500,322.482,3392660.750,116.694
Hele landet,2012,40.000,M,626316.562,4.801,732603.750,191.527,3417751.000,52.161,2229284.000,52.544,6534633.000,66.838,40.000,0.026,6978.284,0.078,3546590.500,43.761,218381.984,23.672,,,3797213.000,246.128,2637070.500,72.902
Hele landet,2012,45.000,F,361482.750,3.696,1121074.125,276.484,6158451.500,108.782,3828052.250,87.107,7922891.500,110.140,1845.181,0.127,1771793.750,48.173,2701170.750,41.852,3888.000,0.150,3196095.500,57.966,6936004.500,358.048,4475394.500,147.036
Hele landet,2012,45.000,M,452411.969,3.536,718614.625,191.380,3652246.250,58.250,2730646.500,58.034,11633345.000,118.100,1372.891,0.065,4607.421,0.081,6914400.500,82.574,330956.969,34.380,2691.641,0.070,4687623.500,271.613,3093005.750,85.785
Hele landet,2012,50.000,F,204110.453,2.240,1158420.375,296.247,6301887.000,117.293,4481648.000,97.088,12662682.000,173.184,6770.221,0.220,4035101.000,136.385,5196217.000,86.139,4628.000,0.271,747084.438,15.517,7311463.000,379.724,5548213.000,182.849
Hele landet,2012,50.000,M,257645.172,2.230,705496.312,194.482,3534341.500,62.018,3099384.250,64.714,18721318.000,194.112,6420.735,0.161,2833.940,0.072,10860500.000,135.833,435455.969,48.337,588.112,0.042,4948602.500,290.727,3443914.250,101.398
Hele landet,2012,55.000,F,93903.688,1.121,1287097.375,322.415,6552143.500,126.322,5507493.500,111.786,18715890.000,248.024,31006.088,0.603,4603575.000,202.915,9147028.000,152.183,5500.000,0.118,55611.703,1.357,7775543.000,389.675,6774297.000,223.277
Hele landet,2012,55.000,M,151410.719,1.432,785948.875,219.945,3637486.500,65.952,3984026.000,77.706,28373702.000,294.015,19815.684,0.428,2380.005,0.102,15748133.000,203.729,520689.656,65.779,6509.933,0.038,5283947.500,310.691,3882054.750,120.519
Hele landet,2012,60.000,F,32770.332,0.504,1397819.625,339.516,6294609.500,131.464,6841528.000,130.634,25612472.000,340.197,66460.852,1.440,3457915.250,207.938,12975721.000,230.202,11679.308,0.270,3212.766,0.092,7851614.000,399.591,7296435.500,261.226
Hele landet,2012,60.000,M,58010.723,0.622,872335.250,246.352,3509399.500,68.637,5199982.500,92.887,37884492.000,405.720,49541.887,1.134,2135.424,0.145,20384684.000,284.434,585413.812,83.465,,,5464679.500,323.430,4132472.500,139.687
Hele landet,2012,65.000,F,13426.510,0.210,1530017.625,344.061,5692691.000,128.195,8273918.500,149.230,35017980.000,450.794,133733.734,3.358,2696927.500,195.783,16693110.000,309.450,5330.000,0.135,4192.455,0.052,7832495.500,398.874,7813627.500,293.288
Hele landet,2012,65.000,M,28044.000,0.333,944244.875,264.826,2856332.750,63.415,6682060.000,114.985,47190712.000,518.102,112154.133,2.808,1970.012,0.167,23428786.000,365.937,562494.000,95.032,,,5009321.000,316.706,4030236.500,154.315
Hele landet,2012,70.000,F,6269.333,0.250,1240204.625,360.595,3866580.000,136.101,6168345.000,156.090,30653636.000,546.653,266312.625,9.685,1447232.625,165.667,13873451.000,380.323,7135.480,0.293,,,5777799.500,421.879,6165878.000,343.279
Hele landet,2012,70.000,M,8045.000,0.214,695931.750,283.782,1757054.375,67.920,5008773.500,129.498,34854676.000,592.325,202196.625,8.222,767.400,0.131,16334072.000,421.525,319898.594,92.825,,,3365254.500,328.463,2807068.500,179.343
Hele landet,2012,75.000,F,10993.333,0.274,1174193.500,384.464,3239478.500,153.665,4878241.000,154.583,29037026.000,629.429,485429.344,23.770,801132.375,128.141,11363196.000,410.604,2460.000,0.137,,,4944105.000,450.514,5832353.000,400.507
Hele landet,2012,75.000,M,2593.333,0.134,577663.062,313.616,1348331.125,78.316,4283178.000,150.021,27783502.000,662.817,345971.312,20.889,473.016,0.151,11734259.000,460.156,161519.984,70.868,,,2477178.000,343.560,2562474.500,226.111
Hele landet,2012,80.000,F,3844.667,0.168,1227100.625,390.897,3005014.000,163.219,3865183.250,138.188,28771138.000,682.069,705831.812,40.942,573836.562,101.178,9003579.000,385.496,2705.772,0.168,,,4750165.500,464.412,5986695.500,442.243
Hele landet,2012,80.000,M,3376.000,0.195,543074.562,338.539,1153516.000,93.219,3269399.750,153.251,22383836.000,702.489,427577.531,34.577,190.200,0.109,8096905.500,449.372,64381.000,35.945,,,2004281.750,354.263,2435754.500,271.231
Hele landet,2012,85.000,F,,,1009713.625,379.038,2108499.250,163.013,2064217.000,104.666,21689846.000,686.203,591134.375,47.375,399434.438,80.715,4710430.000,289.683,233.600,0.101,0.000,0.000,3586472.250,457.422,4881597.000,450.851
Hele landet,2012,85.000,M,,,380231.125,349.747,661123.938,98.152,1675081.750,136.467,12485083.000,707.487,300399.125,42.458,,,3525962.750,370.059,15142.333,15.363,0.000,0.000,1187164.625,354.257,1708278.625,308.976
Hele landet,2012,90.000,F,0.000,0.000,647137.188,341.745,1087414.000,133.239,823123.125,66.678,12272322.000,611.547,292823.969,35.678,242335.969,59.796,1338859.500,136.092,,,0.000,0.000,2260190.250,420.277,3029582.000,405.130
Hele landet,2012,90.000,M,,,199672.297,356.870,253829.984,95.257,501101.844,93.956,4646158.000,652.973,106019.812,36.362,0.000,0.000,828684.062,214.024,1620.112,3.986,0.000,0.000,542897.188,348.247,845982.062,330.432
Hele landet,2013,,F,5323072.500,5.098,18739578.000,279.979,63476772.000,81.112,60606600.000,89.152,231662208.000,166.451,2581201.750,3.809,21100916.000,64.679,90494232.000,92.838,72482.594,0.106,102347816.000,132.917,75461240.000,265.814,66604868.000,144.035
Hele landet,2013,,M,9003843.000,8.281,10691015.000,190.531,34369348.000,42.242,50317252.000,75.492,262045808.000,161.505,1598284.625,2.293,63439.387,0.076,128189136.000,107.795,3741782.250,30.628,29490.820,0.046,45986060.000,198.430,37888652.000,79.851
Hele landet,2013,0.000,F,,,234876.250,232.677,0.000,0.000,1007023.062,118.861,12041.250,1.133,0.000,0.000,6862.500,0.600,,,1030.400,0.051,,,6118.052,12.358,33361.750,5.806
Hele landet,2013,0.000,M,1154.000,0.042,275208.594,246.111,,,1608508.375,155.287,13273.092,1.193,0.000,0.000,0.000,0.000,,,1552.000,0.083,,,9221.679,16.744,43244.535,6.564
Hele landet,2013,5.000,F,129042.070,3.608,218147.984,156.128,1313.187,0.093,908799.062,60.534,22493.084,0.722,0.000,0.000,2109.000,0.152,1593.762,0.060,2078.400,0.060,,,17419.744,11.625,178266.562,5.965
Hele landet,2013,5.000,M,477870.500,11.000,184865.547,131.226,4911.084,0.227,1482513.250,87.474,29837.125,0.971,0.000,0.000,0.000,0.000,750.000,0.032,1262.400,0.038,,,18776.617,12.607,386584.219,9.733
Hele landet,2013,10.000,F,737179.250,14.403,249420.344,109.534,70941.133,1.797,1041934.500,55.503,43726.418,1.591,,,27132.654,0.426,12625.667,0.373,,,215745.703,7.408,116069.688,33.705,388444.906,11.122
Hele landet,2013,10.000,M,2226780.500,39.121,196122.453,89.949,112845.312,2.045,1659528.875,74.153,38784.082,1.210,,,,,14841.667,0.446,,,,,67034.000,23.210,869348.625,18.274
Hele landet,2013,15.000,F,805113.688,15.165,973208.500,260.434,1062263.875,25.820,1297001.500,60.293,120476.211,5.324,,,50204.312,1.220,42932.238,1.137,1668.000,0.032,20515318.000,425.365,598145.125,127.212,599318.375,28.857
Hele landet,2013,15.000,M,1800114.750,28.927,781429.688,161.596,508080.688,11.005,1410853.375,53.295,94791.750,2.926,0.000,0.000,3745.068,0.054,42964.238,0.987,2920.584,0.628,1517.820,0.084,318386.219,75.825,648773.438,20.346
Hele landet,2013,20.000,F,640980.562,10.903,1118590.000,324.438,2283540.000,50.774,1233150.875,52.352,256324.984,9.900,,,66083.750,2.358,111123.680,2.020,,,31858368.000,582.069,1100195.250,195.265,572541.562,47.871
Hele landet,2013,20.000,M,788624.750,11.809,647475.562,172.528,1190775.250,26.212,989793.875,37.051,254591.938,5.655,0.000,0.000,9176.546,0.109,116957.359,1.762,15152.992,3.680,2873.573,0.115,719448.562,131.763,515363.750,31.259
Hele landet,2013,25.000,F,535012.625,7.705,1027591.938,300.764,2805462.750,59.135,1231047.250,50.381,455121.844,15.350,,,123716.484,4.729,124020.758,2.603,5378.000,0.084,19432452.000,400.490,1558054.500,209.863,837343.438,59.852
Hele landet,2013,25.000,M,628653.875,8.110,517191.656,161.837,1722915.625,34.964,1004749.250,36.999,580524.875,9.900,,,5221.171,0.070,251778.641,3.860,36118.324,6.495,2940.336,0.117,1087967.375,160.986,811467.625,43.412
Hele landet,2013,30.000,F,518078.375,6.543,983903.938,296.419,3216506.500,66.203,1379669.125,52.977,890695.500,23.473,,,241561.859,8.060,224623.781,3.942,4523.333,0.079,11542927.000,258.678,2271200.500,232.573,1263465.625,71.138
Hele landet,2013,30.000,M,640268.062,6.803,548200.312,167.773,2225253.000,41.738,1234307.000,40.444,1254769.250,17.821,,,10194.070,0.121,579269.125,8.770,70085.398,10.012,2016.224,0.092,1657971.625,185.243,1353023.000,53.497
Hele landet,2013,35.000,F,573158.375,6.433,1030484.938,284.732,4044578.750,80.630,1994141.000,65.729,1912674.375,39.527,153.333,0.030,395276.625,10.751,448438.406,7.719,6373.236,0.115,8178481.500,172.355,3611394.000,272.429,1991973.500,89.914
Hele landet,2013,35.000,M,657534.000,6.214,581804.188,175.300,2664283.250,47.653,1546381.750,46.027,2834730.750,35.157,,,10338.747,0.114,1309834.625,18.806,137415.984,16.191,504.112,0.028,2452527.500,212.060,1819597.500,62.536
Hele landet,2013,40.000,F,539139.625,5.528,1093866.375,269.151,5538273.000,96.174,3077242.250,77.523,4413483.000,67.876,477.167,0.066,704910.125,17.094,1255338.375,18.689,3462.000,0.154,6230834.500,111.261,5739567.500,319.526,3204682.000,116.645
Hele landet,2013,40.000,M,698710.938,5.586,671456.875,174.491,3395609.250,52.510,2233068.250,53.428,6515851.000,67.610,,,5945.673,0.067,3459047.250,41.919,234462.984,24.571,677.932,0.041,3776469.000,243.215,2515527.750,73.284
Hele landet,2013,45.000,F,432360.375,4.270,1113254.625,266.441,6258822.000,108.962,3880103.250,88.055,8159601.500,111.333,1449.360,0.051,1761687.500,47.825,2660208.250,40.320,6848.000,0.141,3451428.500,61.498,7244327.500,356.422,4489021.500,144.110
Hele landet,2013,45.000,M,518704.156,3.855,701008.812,177.642,3697347.000,57.708,2793847.750,58.917,12052754.000,118.689,1453.649,0.053,6150.436,0.106,6959920.500,80.455,354149.625,35.441,846.820,0.042,4818946.000,269.571,3117851.000,86.479
Hele landet,2013,50.000,F,213897.141,2.568,1120859.750,280.486,6230060.000,117.504,4474105.500,97.596,12717132.000,172.488,9795.551,0.230,4039829.250,135.303,5109959.500,83.564,3710.000,0.112,841710.125,17.706,7511073.500,377.734,5427419.500,179.812
Hele landet,2013,50.000,M,280894.125,2.521,677693.938,184.880,3546023.500,61.466,3114254.000,66.001,18855634.000,194.375,6597.406,0.183,3357.049,0.077,10872151.000,133.080,458373.875,50.621,1505.000,0.029,5083627.000,287.483,3321273.500,99.971
Hele landet,2013,55.000,F,120112.141,1.357,1266548.000,306.170,6498669.000,125.290,5529536.500,112.928,18692658.000,246.522,25244.273,0.539,4452367.500,199.768,9025716.000,147.761,5608.000,0.136,68676.945,1.617,7845175.500,386.835,6579926.500,219.687
Hele landet,2013,55.000,M,166472.219,1.627,754311.750,207.443,3616594.250,66.086,4032146.000,77.876,28289224.000,292.951,26106.982,0.460,3402.060,0.101,15884331.000,200.107,552801.375,66.862,14675.000,0.044,5444133.500,308.027,3848908.500,118.554
Hele landet,2013,60.000,F,42614.172,0.635,1354353.375,324.549,6214979.500,129.543,6728106.500,129.606,25184966.000,336.668,72615.367,1.488,3230203.750,206.659,12796959.000,225.106,9672.324,0.219,4461.126,0.141,7990435.000,398.102,7184039.000,256.701
Hele landet,2013,60.000,M,74444.656,0.740,828792.188,233.022,3470301.250,68.534,5182208.000,94.752,37613712.000,407.237,51749.902,1.176,2546.140,0.104,20531942.000,281.695,620234.500,86.125,674.000,0.048,5424078.500,322.074,4056356.250,138.644
Hele landet,2013,65.000,F,13373.113,0.239,1576576.375,333.085,5905776.500,130.454,8653603.000,151.526,35771500.000,449.547,151377.688,3.547,2628963.500,195.913,17261458.000,307.033,10807.992,0.210,1043.034,0.058,8139193.000,397.755,8056233.000,293.540
Hele landet,2013,65.000,M,27019.332,0.320,943208.312,251.128,3009562.250,64.248,6996337.000,116.823,48386124.000,517.554,118638.242,2.846,1782.007,0.102,24741490.000,366.023,631184.812,97.457,,,5262680.500,315.959,4183455.250,156.713
Hele landet,2013,70.000,F,6599.583,0.208,1276332.125,344.839,3939153.750,132.900,6423194.500,156.727,31814676.000,544.558,260687.031,9.223,1450064.750,167.876,14522810.000,375.256,5442.064,0.281,5073.310,0.073,5999778.500,414.053,6253755.000,336.085
Hele landet,2013,70.000,M,9648.666,0.180,705982.750,272.265,1834824.500,66.659,5254493.500,131.285,37042480.000,595.743,198546.406,7.594,546.900,0.112,17792480.000,422.501,362870.062,94.260,0.000,0.000,3514395.500,321.973,2912328.250,176.545
Hele landet,2013,75.000,F,10794.333,0.375,1225090.125,370.471,3284928.750,151.432,4927511.000,157.238,29237752.000,627.442,499197.062,24.204,793675.625,131.402,11597529.000,406.810,1406.360,0.067,,,5045952.000,450.040,5862677.500,396.856
