Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2004,Alle aldre,Kvinne,Akershus,279,1.122402182046393,248574,1577670.875,106182.9921875
ADHD-midler,2004,Alle aldre,Kvinne,Aust-Agder,112,2.152356061188408,52036,683861.5625,39298.08203125
ADHD-midler,2004,Alle aldre,Kvinne,Buskerud,214,1.738748913281929,123077,1695184.375,80037.015625
ADHD-midler,2004,Alle aldre,Kvinne,Finnmark,53,1.473654942305019,35965,269053.84375,18277.326171875
ADHD-midler,2004,Alle aldre,Kvinne,Hedmark,114,1.196260113120035,95297,737625.8125,51324.5
ADHD-midler,2004,Alle aldre,Kvinne,Hordaland,146,0.650125572199562,224572,812118.875,55968.21484375
ADHD-midler,2004,Alle aldre,Kvinne,Møre og Romsdal,164,1.343491439338085,122070,640918.9375,46519.3671875
ADHD-midler,2004,Alle aldre,Kvinne,Nordland,189,1.595636903957855,118448,856914.0625,51790.11328125
ADHD-midler,2004,Alle aldre,Kvinne,Nord-Trøndelag,69,1.074799838001184,64198,434147.125,31272.099609375
ADHD-midler,2004,Alle aldre,Kvinne,Oppland,55,0.594318316890527,92543,329328.84375,21724.650390625
ADHD-midler,2004,Alle aldre,Kvinne,Oslo,306,1.135410714418232,269506,1475618.875,100559.203125
ADHD-midler,2004,Alle aldre,Kvinne,Rogaland,181,0.925566078258913,195556,873482.125,54797.9765625
ADHD-midler,2004,Alle aldre,Kvinne,Sogn og Fjordane,69,1.301371154825447,53021,332013.5625,20583
ADHD-midler,2004,Alle aldre,Kvinne,Sør-Trøndelag,117,0.856678430740844,136574,480391.9375,37125.18359375
ADHD-midler,2004,Alle aldre,Kvinne,Telemark,117,1.387505336558987,84324,882068.4375,43158.5
ADHD-midler,2004,Alle aldre,Kvinne,Troms,70,0.923604697189603,75790,404675.09375,21072.5
ADHD-midler,2004,Alle aldre,Kvinne,Vest-Agder,117,1.445622358959152,80934,784140.4375,43360.25
ADHD-midler,2004,Alle aldre,Kvinne,Vestfold,181,1.614140225087841,112134,1263734.875,75110.7421875
ADHD-midler,2004,Alle aldre,Kvinne,Østfold,169,1.291930403938477,130812,924418.5,66915.7890625
ADHD-midler,2004,Alle aldre,Mann,Akershus,972,4.002866249907341,242826,6191810,363972.0625
ADHD-midler,2004,Alle aldre,Mann,Aust-Agder,302,5.870461083897053,51444,1718731.5,101058.0390625
ADHD-midler,2004,Alle aldre,Mann,Buskerud,709,5.914790312758094,119869,5996469.5,284055.1875
ADHD-midler,2004,Alle aldre,Mann,Finnmark,183,4.923060368018939,37172,1293865.5,67548.125
ADHD-midler,2004,Alle aldre,Mann,Hedmark,447,4.802217399712082,93082,3249970.5,200390.484375
ADHD-midler,2004,Alle aldre,Mann,Hordaland,502,2.260161723125687,222108,3025605.75,184620.46875
ADHD-midler,2004,Alle aldre,Mann,Møre og Romsdal,598,4.879083580823080,122564,3035026.75,188853.375
ADHD-midler,2004,Alle aldre,Mann,Nordland,574,4.842410744415199,118536,3196015.75,185467.84375
ADHD-midler,2004,Alle aldre,Mann,Nord-Trøndelag,219,3.420592277895789,64024,1401532,87313.28125
ADHD-midler,2004,Alle aldre,Mann,Oppland,309,3.400162855696648,90878,1996258.875,123225.046875
ADHD-midler,2004,Alle aldre,Mann,Oslo,772,3.011460714480757,256354,4740099.5,271761.0625
ADHD-midler,2004,Alle aldre,Mann,Rogaland,727,3.719925908490846,195434,4872482.5,281198.1875
ADHD-midler,2004,Alle aldre,Mann,Sogn og Fjordane,273,5.043973098810140,54124,2039796.75,98888.5234375
ADHD-midler,2004,Alle aldre,Mann,Sør-Trøndelag,426,3.159346771681573,134838,2535652,148619.0625
ADHD-midler,2004,Alle aldre,Mann,Telemark,431,5.263543549411362,81884,3377376,179336.828125
ADHD-midler,2004,Alle aldre,Mann,Troms,211,2.744179997398882,76890,1219880,64067.16796875
ADHD-midler,2004,Alle aldre,Mann,Vest-Agder,477,5.981716263496482,79743,2765181.25,170204.296875
ADHD-midler,2004,Alle aldre,Mann,Vestfold,513,4.750000000000000,108000,4025863.5,218473.828125
ADHD-midler,2004,Alle aldre,Mann,Østfold,512,4.038045964320078,126794,3637997.75,221566.46875
ADHD-midler,2004,0 - 4,Kvinne,Akershus,,,14596,,
ADHD-midler,2004,0 - 4,Kvinne,Aust-Agder,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Buskerud,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Finnmark,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Hedmark,,,4440,,
ADHD-midler,2004,0 - 4,Kvinne,Hordaland,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Nordland,,,5938,,
ADHD-midler,2004,0 - 4,Kvinne,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Oppland,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Oslo,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Rogaland,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Telemark,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Troms,,,4141,,
ADHD-midler,2004,0 - 4,Kvinne,Vest-Agder,0,0,0,0,0
ADHD-midler,2004,0 - 4,Kvinne,Vestfold,,,5426,,
ADHD-midler,2004,0 - 4,Kvinne,Østfold,0,0,0,0,0
ADHD-midler,2004,0 - 4,Mann,Akershus,,,15220,,
ADHD-midler,2004,0 - 4,Mann,Aust-Agder,0,0,0,0,0
ADHD-midler,2004,0 - 4,Mann,Buskerud,,,6708,,
ADHD-midler,2004,0 - 4,Mann,Finnmark,0,0,0,0,0
ADHD-midler,2004,0 - 4,Mann,Hedmark,,,4586,,
