Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2016,Alle aldre,Kvinne,Akershus,1473,4.920349134345908,299369,10272953,616256.625
ADHD-midler,2016,Alle aldre,Kvinne,Aust-Agder,544,9.423340089036706,57729,3364970.75,238222
ADHD-midler,2016,Alle aldre,Kvinne,Buskerud,957,6.905260119777762,138590,6240293,411187.46875
ADHD-midler,2016,Alle aldre,Kvinne,Finnmark,286,7.760562233739451,36853,2891336.25,142316.578125
ADHD-midler,2016,Alle aldre,Kvinne,Hedmark,785,8.007017615438754,98039,5034942,340919.125
ADHD-midler,2016,Alle aldre,Kvinne,Hordaland,1492,5.832590577160639,255804,9911288,595431.9375
ADHD-midler,2016,Alle aldre,Kvinne,Møre og Romsdal,825,6.328240058910162,130368,4913784,327594.46875
ADHD-midler,2016,Alle aldre,Kvinne,Nordland,1089,9.102002607736284,119644,7168541,478786.5
ADHD-midler,2016,Alle aldre,Kvinne,Nord-Trøndelag,437,6.449042236061509,67762,3270188.5,198117.828125
ADHD-midler,2016,Alle aldre,Kvinne,Oppland,599,6.348230655913181,94357,5165433.5,290998.1875
ADHD-midler,2016,Alle aldre,Kvinne,Oslo,1254,3.776767159594013,332030,9339440,497824.625
ADHD-midler,2016,Alle aldre,Kvinne,Rogaland,1641,7.088675398279020,231496,10823630,692073.25
ADHD-midler,2016,Alle aldre,Kvinne,Sogn og Fjordane,218,4.049786364480773,53830,1304470,81535.8046875
ADHD-midler,2016,Alle aldre,Kvinne,Sør-Trøndelag,1250,8.048626582359986,155306,7567476.5,489790.28125
ADHD-midler,2016,Alle aldre,Kvinne,Telemark,535,6.187689389558419,86462,3200340,233600.609375
ADHD-midler,2016,Alle aldre,Kvinne,Troms,294,3.628912807346697,81016,1612060.25,112014.7109375
ADHD-midler,2016,Alle aldre,Kvinne,Vest-Agder,526,5.765710464874108,91229,3647941.75,258009.34375
ADHD-midler,2016,Alle aldre,Kvinne,Vestfold,1104,8.917681079814861,123799,8896211,517549.15625
ADHD-midler,2016,Alle aldre,Kvinne,Østfold,1216,8.356354540331780,145518,10030084,599754.25
ADHD-midler,2016,Alle aldre,Mann,Akershus,2257,7.521828967539825,300060,16094906,993426.5
ADHD-midler,2016,Alle aldre,Mann,Aust-Agder,630,10.770887828896753,58491,4271203.5,271577.75
ADHD-midler,2016,Alle aldre,Mann,Buskerud,1382,9.864664230242120,140096,9363392,613361.25
