Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2010,Alle aldre,Kvinne,Akershus,1039,3.820161924861570,271978,6340701.5,429125
ADHD-midler,2010,Alle aldre,Kvinne,Aust-Agder,417,7.641281243128344,54572,2574854.5,172252
ADHD-midler,2010,Alle aldre,Kvinne,Buskerud,545,4.188248313173386,130126,4043418.5,251790.484375
ADHD-midler,2010,Alle aldre,Kvinne,Finnmark,157,4.392345568487019,35744,938548.125,60094.51953125
ADHD-midler,2010,Alle aldre,Kvinne,Hedmark,557,5.779567103160603,96374,3547165.5,243926.875
ADHD-midler,2010,Alle aldre,Kvinne,Hordaland,820,3.425515916116635,239380,4841035,319557.4375
ADHD-midler,2010,Alle aldre,Kvinne,Møre og Romsdal,486,3.885357956589519,125085,2619871.25,170384.484375
ADHD-midler,2010,Alle aldre,Kvinne,Nordland,809,6.861048917837031,117912,5281230,317872.59375
ADHD-midler,2010,Alle aldre,Kvinne,Nord-Trøndelag,219,3.331558530463224,65735,1502888.5,109127.8828125
ADHD-midler,2010,Alle aldre,Kvinne,Oppland,341,3.653545331819058,93334,2119568,146506.3125
ADHD-midler,2010,Alle aldre,Kvinne,Oslo,809,2.699870513008770,299644,4801626.5,329936.15625
ADHD-midler,2010,Alle aldre,Kvinne,Rogaland,968,4.537889974919720,213315,6089397.5,391870.875
ADHD-midler,2010,Alle aldre,Kvinne,Sogn og Fjordane,167,3.150408421211492,53009,1044151,64288.10546875
ADHD-midler,2010,Alle aldre,Kvinne,Sør-Trøndelag,556,3.827619441002341,145260,3222467.25,223147.734375
ADHD-midler,2010,Alle aldre,Kvinne,Telemark,466,5.474109576167653,85128,3169829.75,211925.8125
ADHD-midler,2010,Alle aldre,Kvinne,Troms,245,3.152909685223792,77706,1287603.375,83707.46875
ADHD-midler,2010,Alle aldre,Kvinne,Vest-Agder,376,4.377692397252299,85890,2489921,193107.0625
ADHD-midler,2010,Alle aldre,Kvinne,Vestfold,699,5.952279578316331,117434,4484826,311779.90625
ADHD-midler,2010,Alle aldre,Kvinne,Østfold,791,5.747627559547165,137622,4528319.5,346347.59375
ADHD-midler,2010,Alle aldre,Mann,Akershus,1837,6.826610775416769,269094,12174041,783768
ADHD-midler,2010,Alle aldre,Mann,Aust-Agder,641,11.718892829719551,54698,4113391.25,255220.421875
ADHD-midler,2010,Alle aldre,Mann,Buskerud,1085,8.394064584010274,129258,8710234,524750.5625
ADHD-midler,2010,Alle aldre,Mann,Finnmark,309,8.261148540263073,37404,2203294.75,135579.84375
ADHD-midler,2010,Alle aldre,Mann,Hedmark,1018,10.740435947753793,94782,7808508,537345.4375
ADHD-midler,2010,Alle aldre,Mann,Hordaland,1483,6.146385941644562,241280,10587284,612503.75
ADHD-midler,2010,Alle aldre,Mann,Møre og Romsdal,996,7.812622562477449,127486,6071496,362156.75
ADHD-midler,2010,Alle aldre,Mann,Nordland,1367,11.504216248969081,118826,9811997,588145.25
ADHD-midler,2010,Alle aldre,Mann,Nord-Trøndelag,529,8.005205653581913,66082,3826607.5,251006.890625
ADHD-midler,2010,Alle aldre,Mann,Oppland,691,7.485727285530122,92309,4595255,330535.5
ADHD-midler,2010,Alle aldre,Mann,Oslo,1339,4.564777914520357,293333,8410441,535758.625
ADHD-midler,2010,Alle aldre,Mann,Rogaland,1846,8.441056641044752,218693,12579249,779132
ADHD-midler,2010,Alle aldre,Mann,Sogn og Fjordane,336,6.178060530283529,54386,2400647,140155.9375
ADHD-midler,2010,Alle aldre,Mann,Sør-Trøndelag,1074,7.304532346700038,147032,7220080,443025.03125
ADHD-midler,2010,Alle aldre,Mann,Telemark,793,9.487234704376331,83586,5791473,367181.875
ADHD-midler,2010,Alle aldre,Mann,Troms,502,6.329273520437754,79314,3068569.75,188246.25
ADHD-midler,2010,Alle aldre,Mann,Vest-Agder,721,8.435807134750611,85469,4772358,336265.90625
ADHD-midler,2010,Alle aldre,Mann,Vestfold,1122,9.750247666718807,115074,7898059,478484.09375
ADHD-midler,2010,Alle aldre,Mann,Østfold,1282,9.454904824066494,135591,8689834,605660.1875
ADHD-midler,2010,0 - 4,Kvinne,Akershus,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Aust-Agder,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Buskerud,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Finnmark,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Hedmark,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Hordaland,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Nordland,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Oppland,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Oslo,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Rogaland,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Telemark,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Troms,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Vest-Agder,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Vestfold,0,0,0,0,0
ADHD-midler,2010,0 - 4,Kvinne,Østfold,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Akershus,,,16293,,
ADHD-midler,2010,0 - 4,Mann,Aust-Agder,,,3097,,
ADHD-midler,2010,0 - 4,Mann,Buskerud,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Finnmark,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Hedmark,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Hordaland,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Nordland,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Nord-Trøndelag,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Oppland,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Oslo,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Rogaland,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Sogn og Fjordane,,,2939,,
ADHD-midler,2010,0 - 4,Mann,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Telemark,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Troms,0,0,0,0,0
ADHD-midler,2010,0 - 4,Mann,Vest-Agder,,,5214,,
ADHD-midler,2010,0 - 4,Mann,Vestfold,,,6212,,
ADHD-midler,2010,0 - 4,Mann,Østfold,0,0,0,0,0
ADHD-midler,2010,5 - 9,Kvinne,Akershus,61,3.360881542699725,18150,291777.5,14594.0419921875
ADHD-midler,2010,5 - 9,Kvinne,Aust-Agder,27,8.379888268156425,3222,112918.3984375,6286.0751953125
ADHD-midler,2010,5 - 9,Kvinne,Buskerud,32,4.160707320244442,7691,165823.59375,7867.7998046875
ADHD-midler,2010,5 - 9,Kvinne,Finnmark,9,4.201680672268908,2142,57279.16796875,2634.69677734375
ADHD-midler,2010,5 - 9,Kvinne,Hedmark,34,6.630265210608424,5128,134758.59375,8534.6669921875
ADHD-midler,2010,5 - 9,Kvinne,Hordaland,41,2.766345050941232,14821,260315.375,9269.876953125
ADHD-midler,2010,5 - 9,Kvinne,Møre og Romsdal,31,4.032258064516129,7688,96603.1015625,5379.0751953125
ADHD-midler,2010,5 - 9,Kvinne,Nordland,42,6.342494714587738,6622,234000.453125,11871.5830078125
ADHD-midler,2010,5 - 9,Kvinne,Nord-Trøndelag,12,3.016591251885370,3978,81208.4609375,4922.33349609375
ADHD-midler,2010,5 - 9,Kvinne,Oppland,19,3.705148205928237,5128,80550,5435.33349609375
ADHD-midler,2010,5 - 9,Kvinne,Oslo,28,1.767118964973178,15845,128626.453125,7741.64599609375
