Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2006,0 - 4,Kvinne,Vest-Agder,0,0,0,0,0
ADHD-midler,2006,0 - 4,Kvinne,Vestfold,0,0,0,0,0
ADHD-midler,2006,0 - 4,Kvinne,Østfold,,,6492,,
ADHD-midler,2006,0 - 4,Mann,Akershus,,,15530,,
ADHD-midler,2006,0 - 4,Mann,Aust-Agder,0,0,0,0,0
ADHD-midler,2006,0 - 4,Mann,Buskerud,,,6669,,
ADHD-midler,2006,0 - 4,Mann,Finnmark,0,0,0,0,0
ADHD-midler,2006,0 - 4,Mann,Hedmark,,,4422,,
ADHD-midler,2006,0 - 4,Mann,Hordaland,,,13566,,
ADHD-midler,2006,0 - 4,Mann,Møre og Romsdal,,,6685,,
ADHD-midler,2006,0 - 4,Mann,Nordland,,,6066,,
ADHD-midler,2006,0 - 4,Mann,Nord-Trøndelag,,,3520,,
ADHD-midler,2006,0 - 4,Mann,Oppland,,,4440,,
ADHD-midler,2006,0 - 4,Mann,Oslo,0,0,0,0,0
ADHD-midler,2006,0 - 4,Mann,Rogaland,,,12686,,
ADHD-midler,2006,0 - 4,Mann,Sogn og Fjordane,0,0,0,0,0
ADHD-midler,2006,0 - 4,Mann,Sør-Trøndelag,0,0,0,0,0
ADHD-midler,2006,0 - 4,Mann,Telemark,,,4017,,
ADHD-midler,2006,0 - 4,Mann,Troms,0,0,0,0,0
ADHD-midler,2006,0 - 4,Mann,Vest-Agder,0,0,0,0,0
ADHD-midler,2006,0 - 4,Mann,Vestfold,,,5880,,
ADHD-midler,2006,0 - 4,Mann,Østfold,0,0,0,0,0
ADHD-midler,2006,5 - 9,Kvinne,Akershus,28,1.600548759574711,17494,142603.0625,8761.033203125
ADHD-midler,2006,5 - 9,Kvinne,Aust-Agder,26,7.864488808227465,3306,104557.9375,5749.41650390625
ADHD-midler,2006,5 - 9,Kvinne,Buskerud,25,3.288608260983952,7602,177692.59375,7096.6748046875
ADHD-midler,2006,5 - 9,Kvinne,Finnmark,,,2448,,
ADHD-midler,2006,5 - 9,Kvinne,Hedmark,20,3.703017959637104,5401,107580.9765625,8608.6669921875
ADHD-midler,2006,5 - 9,Kvinne,Hordaland,25,1.650927821435647,15143,143827.59375,7643.033203125
ADHD-midler,2006,5 - 9,Kvinne,Møre og Romsdal,29,3.662541045718616,7918,158667.125,6841.94970703125
ADHD-midler,2006,5 - 9,Kvinne,Nordland,25,3.421845058855735,7306,153516.65625,7546.44140625
ADHD-midler,2006,5 - 9,Kvinne,Nord-Trøndelag,10,2.376990729736154,4207,78473,3374.86669921875
ADHD-midler,2006,5 - 9,Kvinne,Oppland,15,2.745241581259151,5464,85163.5625,6024.533203125
ADHD-midler,2006,5 - 9,Kvinne,Oslo,31,2.178802361540624,14228,186504.5,7789.591796875
ADHD-midler,2006,5 - 9,Kvinne,Rogaland,49,3.421071004677791,14323,313082.65625,15208.4462890625
ADHD-midler,2006,5 - 9,Kvinne,Sogn og Fjordane,,,3444,,
