Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2013,Alle aldre,Kvinne,Akershus,1176,4.115528771955611,285747,6436349.5,468431
ADHD-midler,2013,Alle aldre,Kvinne,Aust-Agder,436,7.730359390790943,56401,2123816,184227.921875
ADHD-midler,2013,Alle aldre,Kvinne,Buskerud,645,4.781177726383206,134904,3899110.25,286342.125
ADHD-midler,2013,Alle aldre,Kvinne,Finnmark,222,6.098901098901099,36400,1445349.625,100088.6015625
ADHD-midler,2013,Alle aldre,Kvinne,Hedmark,634,6.500963865304951,97524,3510694.5,281210.65625
ADHD-midler,2013,Alle aldre,Kvinne,Hordaland,1104,4.443854077356873,248433,6377343,439192.1875
ADHD-midler,2013,Alle aldre,Kvinne,Møre og Romsdal,656,5.118441996192379,128164,3095239.5,230747.625
ADHD-midler,2013,Alle aldre,Kvinne,Nordland,910,7.638842253710295,119128,5208827.5,383138.21875
ADHD-midler,2013,Alle aldre,Kvinne,Nord-Trøndelag,303,4.524143697554275,66974,1632196.125,132954.5
ADHD-midler,2013,Alle aldre,Kvinne,Oppland,486,5.179800908063863,93826,2829696.5,219674.875
ADHD-midler,2013,Alle aldre,Kvinne,Oslo,929,2.940245600708951,315960,5064619,360238.34375
ADHD-midler,2013,Alle aldre,Kvinne,Rogaland,1199,5.348762513160008,224164,6274298,480053.1875
ADHD-midler,2013,Alle aldre,Kvinne,Sogn og Fjordane,161,3.009289545989795,53501,675956.25,54010.21484375
ADHD-midler,2013,Alle aldre,Kvinne,Sør-Trøndelag,810,5.384349490813369,150436,3850736.5,302593.28125
ADHD-midler,2013,Alle aldre,Kvinne,Telemark,524,6.092669030870298,86005,2747921.75,224792.671875
ADHD-midler,2013,Alle aldre,Kvinne,Troms,277,3.480030654421649,79597,1229653.75,93870.8828125
ADHD-midler,2013,Alle aldre,Kvinne,Vest-Agder,446,5.039548022598870,88500,2640875.5,214273.25
ADHD-midler,2013,Alle aldre,Kvinne,Vestfold,1004,8.316214962560467,120728,5768167.5,423256.96875
ADHD-midler,2013,Alle aldre,Kvinne,Østfold,969,6.820821454967796,142065,5714693.5,443975.8125
ADHD-midler,2013,Alle aldre,Mann,Akershus,1923,6.739304901854273,285341,11503182,802501.8125
ADHD-midler,2013,Alle aldre,Mann,Aust-Agder,553,9.727523791095710,56849,3085125,238267.078125
ADHD-midler,2013,Alle aldre,Mann,Buskerud,1156,8.518791451731761,135700,7220492,526308.375
ADHD-midler,2013,Alle aldre,Mann,Finnmark,395,10.264005820600769,38484,2621731,197450.46875
ADHD-midler,2013,Alle aldre,Mann,Hedmark,1142,11.830519009634311,96530,7320162.5,552652.75
ADHD-midler,2013,Alle aldre,Mann,Hordaland,1908,7.533551548365954,253267,12291838,774588.375
ADHD-midler,2013,Alle aldre,Mann,Møre og Romsdal,1136,8.585118120947386,132322,5685508.5,406735.875
ADHD-midler,2013,Alle aldre,Mann,Nordland,1403,11.588528760696468,121068,8199015,602496
ADHD-midler,2013,Alle aldre,Mann,Nord-Trøndelag,590,8.698344365979153,67829,3180751,249836.296875
ADHD-midler,2013,Alle aldre,Mann,Oppland,818,8.727474473737557,93727,4507663.5,382864.0625
ADHD-midler,2013,Alle aldre,Mann,Oslo,1359,4.337792417960184,313293,8286356.5,557811
ADHD-midler,2013,Alle aldre,Mann,Rogaland,2145,9.257500949487277,231704,12070339,870645.9375
ADHD-midler,2013,Alle aldre,Mann,Sogn og Fjordane,339,6.127428829643019,55325,1934086.625,140112.046875
ADHD-midler,2013,Alle aldre,Mann,Sør-Trøndelag,1431,9.289010924811591,154053,7979778,582307.625
ADHD-midler,2013,Alle aldre,Mann,Telemark,752,8.827534394515659,85188,4491920,329547.5
ADHD-midler,2013,Alle aldre,Mann,Troms,533,6.530422210786836,81618,2746276,203027.90625
ADHD-midler,2013,Alle aldre,Mann,Vest-Agder,739,8.312897927962384,88898,4421636,350467.09375
ADHD-midler,2013,Alle aldre,Mann,Vestfold,1390,11.673021045029309,119078,7838831.5,576149.0625
ADHD-midler,2013,Alle aldre,Mann,Østfold,1418,10.027224834706361,141415,8811545,660073.625
ADHD-midler,2013,0 - 4,Kvinne,Akershus,0,0,0,0,0
ADHD-midler,2013,0 - 4,Kvinne,Aust-Agder,,,3032,,
ADHD-midler,2013,0 - 4,Kvinne,Buskerud,0,0,0,0,0
ADHD-midler,2013,0 - 4,Kvinne,Finnmark,0,0,0,0,0
ADHD-midler,2013,0 - 4,Kvinne,Hedmark,0,0,0,0,0
ADHD-midler,2013,0 - 4,Kvinne,Hordaland,0,0,0,0,0
ADHD-midler,2013,0 - 4,Kvinne,Møre og Romsdal,0,0,0,0,0
ADHD-midler,2013,0 - 4,Kvinne,Nordland,0,0,0,0,0
